,DBC,DIA,FEZ,IJH,IWD,IWF,IWM,IWN,IWO,MDY,OEF,PFF,QQQ,SPY,VTI
2011-02-25,29.28956413269043,99.02053833007812,30.098506927490234,84.83020782470703,55.833656311035156,53.58449172973633,72.47105407714844,62.54361343383789,85.33907318115234,157.32717895507812,49.63359451293945,23.44141387939453,52.51759338378906,111.0146484375,57.69464111328125
2011-02-28,29.33892059326172,99.84612274169922,30.49306869506836,84.97986602783203,56.28366470336914,53.85081481933594,72.55043029785156,62.728546142578125,85.2648696899414,157.46173095703125,49.9841423034668,23.524776458740234,52.62690734863281,111.70257568359375,58.00699996948242
2011-03-01,29.783151626586914,98.39114379882812,29.904945373535156,83.58023834228516,55.29365158081055,52.96306228637695,71.09535217285156,61.53484344482422,83.54010009765625,154.9311981201172,49.1912727355957,23.458297729492188,51.779693603515625,109.84015655517578,57.02768325805664
2011-03-02,29.901615142822266,98.45657348632812,30.098506927490234,83.99395751953125,55.37547302246094,53.13172912597656,71.39521026611328,61.711368560791016,84.02229309082031,155.65797424316406,49.249691009521484,23.536161422729492,52.05298614501953,110.07505798339844,57.145877838134766
2011-03-03,29.891742706298828,100.01776885986328,30.604745864868164,85.72808074951172,56.3491096496582,54.07274627685547,73.0177993774414,62.95551300048828,86.16435241699219,158.9603729248047,50.084285736083984,23.614044189453125,53.082393646240234,111.97102355957031,58.18429946899414
2011-03-04,30.039817810058594,99.29027557373047,30.150619506835938,85.217529296875,55.874568939208984,53.717647552490234,72.70034790039062,62.52680587768555,86.0438003540039,157.9911651611328,49.65030288696289,23.649982452392578,52.809104919433594,111.1321029663086,57.79593276977539
2011-03-07,29.901615142822266,98.6690902709961,29.964506149291992,84.07319641113281,55.490013122558594,53.176124572753906,71.50984191894531,61.60210037231445,84.65287017822266,155.77468872070312,49.324790954589844,23.554147720336914,52.098541259765625,110.2596435546875,57.27251434326172
2011-03-08,29.644947052001953,99.7153549194336,30.03150749206543,85.16471099853516,56.13636779785156,53.486846923828125,72.67388916015625,62.60247039794922,85.92327880859375,157.72201538085938,49.72541809082031,23.620037078857422,52.308067321777344,111.22440338134766,57.78748321533203
2011-03-09,29.763408660888672,99.73165893554688,29.89750099182129,84.83020782470703,56.12004089355469,53.36255645751953,72.38286590576172,62.47636795043945,85.31123352050781,157.25537109375,49.67532730102539,23.643985748291016,51.952789306640625,111.06497192382812,57.70307159423828
2011-03-10,29.279691696166992,97.86799621582031,29.25726318359375,83.34259796142578,55.06455612182617,52.38602828979492,70.52215576171875,60.87074279785156,83.159912109375,154.45553588867188,48.7906608581543,23.596080780029297,51.14202117919922,109.0096435546875,56.59713363647461
2011-03-11,29.11187171936035,98.43199157714844,29.435941696166992,83.87954711914062,55.449092864990234,52.7500114440918,70.70736694335938,60.98841857910156,83.47518157958984,155.4695587158203,49.09111404418945,23.63201332092285,51.460872650146484,109.76466369628906,56.97703552246094
2011-03-14,29.190845489501953,97.96607208251953,29.27960205078125,83.47461700439453,55.072731018066406,52.48366928100586,70.32815551757812,60.568119049072266,83.08570861816406,154.77859497070312,48.82403564453125,23.596080780029297,51.27867889404297,109.1019287109375,56.630889892578125
2011-03-15,28.124692916870117,96.80537414550781,28.57980728149414,82.94648742675781,54.499996185302734,51.90665054321289,69.70204162597656,60.05534362792969,82.4180679321289,153.755615234375,48.231483459472656,23.554147720336914,50.54988479614258,107.85193634033203,56.03150939941406
2011-03-16,28.292512893676758,94.94986724853516,27.448238372802734,82.07501983642578,53.591796875,50.921241760253906,69.00535583496094,59.34077072143555,81.67622375488281,152.1492919921875,47.24665451049805,23.494234085083008,49.329193115234375,105.85529327392578,55.060638427734375
2011-03-17,29.171100616455078,96.20052337646484,28.5053653717041,82.5151596069336,54.27908706665039,51.462764739990234,69.1552734375,59.63499069213867,81.62987518310547,153.02870178222656,47.8642463684082,23.47626495361328,49.78466033935547,107.25628662109375,55.69382095336914
2011-03-18,29.33892059326172,96.86060333251953,28.932870864868164,82.94648742675781,54.66364288330078,51.50715637207031,70.07240295410156,60.492435455322266,82.59427642822266,153.84210205078125,48.05620193481445,23.566116333007812,49.67247009277344,107.64640808105469,55.955509185791016
2011-03-21,29.477127075195312,98.33472442626953,29.85053825378418,84.62776184082031,55.37547302246094,52.394893646240234,71.69501495361328,61.87111282348633,84.53229522705078,156.9280548095703,48.782325744628906,23.608064651489258,50.630332946777344,109.31468963623047,56.833499908447266
2011-03-22,29.694305419921875,98.21187591552734,29.70878028869629,84.06439208984375,55.17091369628906,52.2706298828125,71.31582641601562,61.618896484375,84.1428451538086,155.90237426757812,48.623741149902344,23.63201332092285,50.53911590576172,108.93551635742188,56.64778137207031
2011-03-23,29.753536224365234,98.79338836669922,29.596874237060547,83.941162109375,55.21183395385742,52.49256134033203,71.53628540039062,61.57685852050781,84.54157257080078,155.61447143554688,48.7906608581543,23.65596580505371,50.8218994140625,109.24726867675781,56.782859802246094
2011-03-24,29.85225486755371,99.4731216430664,30.35041618347168,84.75979614257812,55.654022216796875,53.09637451171875,72.03028869628906,61.86025619506836,85.40379333496094,157.2069854736328,49.18292236328125,23.643985748291016,51.72504806518555,110.29203033447266,57.32316589355469
